geo_id,latitude,longitude
0,41.8665,-87.702
1,39.0586,-94.4892
2,39.4718,-80.0799
3,41.964,-78.627
4,43.0143,-87.9268
5,35.942,-96.0528
6,41.8732,-87.745
7,27.7523,-97.4187
8,34.1839,-80.8914
9,35.3054,-119.016
10,42.0724,-83.4853
11,32.4127,-90.0989
12,45.5001,-122.43
13,32.5421,-94.749
14,39.3487,-76.6778
15,29.1887,-82.1438
16,41.7341,-87.6582
17,31.475,-100.477
18,37.0943,-93.8118
19,41.8883,-87.7189
20,38.627,-90.1994
21,41.4758,-81.5904
22,38.2663,-85.8064
23,39.7429,-75.5575
24,41.9029,-87.7314
25,39.8073,-86.2708
26,41.3655,-74.4497
27,39.0748,-108.475
28,61.2225,-149.878
29,39.0839,-94.5395
30,43.2155,-75.4676
31,37.776,-122.403
32,38.2406,-122.037
33,35.1108,-77.1041
34,29.4932,-90.5734
35,38.9816,-94.5554
36,30.4117,-91.0614
37,40.2032,-79.9311
38,38.9902,-80.2314
39,38.9163,-77.0346
40,35.3641,-81.9615
41,46.5905,-112.039
42,43.0187,-76.1438
43,29.7237,-95.4414
44,47.4809,-122.348
45,41.8632,-87.7034
46,42.3536,-83.1894
47,30.4127,-91.0451
48,38.021,-121.295
49,43.0792,-87.971
50,43.6088,-96.7638
51,32.3248,-94.5349
52,30.4855,-91.1488
53,29.5144,-98.4145
54,42.5064,-94.1862
55,33.2165,-92.6583
56,43.2577,-75.0804
57,44.4163,-69.5406
58,44.9291,-123.041
59,45.7771,-108.552
60,42.3815,-123.467
61,41.9065,-87.6385
62,33.4225,-112.135
63,39.3614,-74.4341
64,29.86,-90.0724
65,29.7119,-90.6147
66,36.0477,-79.8055
67,33.8631,-118.217
68,61.5749,-149.402
69,31.119,-97.689
70,34.9718,-81.9238
71,33.8008,-118.213
72,42.0877,-71.0018
73,42.4317,-87.8855
74,40.9604,-75.9762
75,40.2769,-76.8461
76,43.1652,-77.6096
77,33.0516,-84.1758
78,36.2096,-92.2866
79,39.056,-94.4273
80,35.0163,-90.7898
81,31.3157,-92.4821
82,37.9845,-121.295
83,32.7144,-117.165
84,33.5953,-86.7001
85,29.176,-82.1378
86,34.4622,-79.3353
87,35.1145,-89.9914
88,36.7432,-119.745
89,39.1284,-94.6887
90,44.9549,-93.1086
91,41.4636,-81.6059
92,29.9317,-90.1617
93,41.5836,-81.5576
94,35.1688,-89.9441
95,38.9064,-90.9142
96,38.5657,-121.491
97,32.8479,-79.975
98,38.0672,-84.5044
99,38.026,-121.921
100,41.7504,-87.5514
101,39.9916,-75.1157
102,36.2225,-86.7101
103,38.4739,-121.466
104,39.9917,-82.9981
105,28.8108,-81.8779
106,35.6925,-88.9699
107,30.5328,-86.4708
108,30.1805,-85.6846
109,27.4769,-82.544
110,40.7279,-73.9761
111,41.0569,-83.662
112,37.1722,-93.2625
113,31.0648,-97.7087
114,35.746,-82.0531
115,32.4056,-86.2861
116,39.7571,-84.1838
117,38.9569,-92.3317
118,38.3338,-81.6577
119,35.8623,-90.7032
120,41.7157,-83.5062
121,36.2037,-119.08
122,41.7885,-71.4036
123,36.3783,-119.293
124,32.6741,-80.1545
125,41.9131,-87.7741
126,40.7732,-73.21
127,34.19,-119.19
128,41.5322,-90.5844
129,42.4167,-83.2329
130,41.2879,-88.2762
131,27.9943,-82.443
132,30.0971,-81.7131
133,42.2779,-71.0827
134,32.6791,-115.488
135,35.9874,-115.244
136,40.4498,-89.0057
137,37.862,-122.295
138,41.3545,-72.0983
139,38.9011,-77.042
140,36.0891,-95.9759
141,37.3542,-121.993
142,36.0556,-96.0034
143,33.7335,-117.857
144,39.818,-84.3538
145,35.4625,-97.6373
146,41.6766,-86.9711
147,38.8027,-90.5012
148,42.1274,-72.5284
149,36.1367,-115.193
150,41.4637,-81.5994
151,33.5163,-112.092
152,30.4666,-91.0438
153,40.0775,-83.1871
154,34.7135,-86.6637
155,29.8638,-90.083
156,40.8571,-73.8959
157,36.0396,-86.6492
158,29.9103,-90.0736
159,32.3752,-86.2929
160,33.4977,-86.8757
161,42.0716,-87.9752
162,42.3409,-71.0704
163,41.942,-85.3284
164,39.0807,-108.5
165,34.767,-92.259
166,41.5583,-90.5548
167,35.2127,-118.827
168,30.3692,-81.6516
169,37.0412,-88.8668
170,34.8946,-95.6837
171,40.9125,-74.148
172,42.3341,-71.0891
173,35.5196,-97.5387
174,40.2208,-74.7441
175,39.1788,-75.7397
176,35.2083,-85.1477
177,32.6886,-96.7789
178,27.9011,-82.8187
179,32.223,-89.971
180,40.7201,-74.0708
181,29.9434,-90.1311
182,41.639,-87.4484
183,34.6813,-99.7712
184,39.1189,-75.5346
185,34.2903,-119.303
186,42.2746,-85.643
187,29.9928,-90.0309
188,39.9868,-82.9438
189,40.0996,-80.5883
190,41.8969,-87.7535
191,38.9052,-77.0612
192,41.6909,-83.5481
193,32.3804,-86.2906
194,39.0463,-94.5518
195,42.0867,-88.2758
196,42.0662,-71.0027
197,38.2529,-104.472
198,41.2123,-95.974
199,32.8898,-109.478
200,36.0433,-86.6655
201,37.6923,-120.99
202,35.7743,-90.679
203,37.838,-122.253
204,41.7441,-87.5917
205,41.8299,-73.7631
206,35.6181,-87.0378
207,36.9879,-76.4068
208,34.2446,-88.7197
209,26.527,-80.058
210,38.5959,-121.291
211,29.4706,-98.5079
212,39.0625,-75.539
213,37.2719,-76.6801
214,42.3377,-71.1495
215,34.8441,-85.8161
216,30.458,-91.063
217,35.6314,-88.8108
218,29.3773,-98.5526
219,39.7575,-84.2725
220,41.5377,-90.5551
221,41.8913,-87.7542
222,39.7437,-86.1943
223,41.7569,-87.8077
224,42.2882,-89.1241
225,40.1534,-74.9733
226,30.8873,-87.7645
227,36.3292,-78.3861
228,42.3186,-71.0659
229,39.9755,-75.1447
230,35.7835,-84.3643
231,37.6728,-121.006
232,35.1493,-80.8843
233,42.4467,-83.0844
234,40.4364,-86.9153
235,27.8621,-81.4654
236,38.6127,-90.2062
237,33.9025,-117.874
238,34.1401,-119.184
239,32.3741,-88.6754
240,40.9664,-75.9867
241,41.4331,-81.6786
242,29.4125,-98.5714
243,41.9153,-88.0803
244,42.5016,-89.0545
